clip_name,frame_nr,person_id,nose_x,nose_y,neck_x,neck_y,rshoulder_x,rshoulder_y,relbow_x,relbow_y,rwrist_x,rwrist_y,lshoulder_x,lshoulder_y,lelbow_x,lelbow_y,lwrist_x,lwrist_y,midhip_x,midhip_y,rhip_x,rhip_y,rknee_x,rknee_y,rankle_x,rankle_y,lhip_x,lhip_y,lknee_x,lknee_y,lankle_x,lankle_y,reye_x,reye_y,leye_x,leye_y,rear_x,rear_y,lear_x,lear_y,lbigtoe_x,lbigtoe_y,lsmalltoe_x,lsmalltoe_y,lheal_x,lheal_y,rbigtoe_x,rbigtoe_y,rsmalltoe_x,rsmalltoe_y,rheal_x,rheal_y,nose_v,neck_v,rshoulder_v,relbow_v,rwrist_v,lshoulder_v,lelbow_v,lwrist_v,midhip_v,rhip_v,rknee_v,rankle_v,lhip_v,lknee_v,lankle_v,reye_v,leye_v,rear_v,lear_v,lbigtoe_v,lsmalltoe_v,lheal_v,rbigtoe_v,rsmalltoe_v,rheal_v,label,status
1p_Eero_1_05122021_choreo1,0,0,228.771,128.5,228.964,291.52,128.53,291.618,83.295,484.845,90.7936,658.073,329.186,289.086,361.895,434.661,374.482,572.79,251.417,612.883,188.707,612.918,208.692,843.743,0,0,311.771,610.368,309.192,813.719,216.313,916.612,198.719,110.937,248.828,108.299,168.647,153.621,284.039,146.093,0,0,0,0,0,0,0,0,0,0,0,0,0.9050300000000001,0.889084,0.7623409999999999,0.777781,0.79193,0.8159639999999999,0.819983,0.855873,0.6135379999999999,0.557794,0.491284,0,0.6266579999999999,0.683616,0.103542,0.8989779999999999,0.882589,0.891115,0.8441900000000001,0,0,0,0,0,0,,
1p_Eero_1_05122021_choreo1,1,0,228.822,133.595,231.437,294.132,133.472,299.113,88.2938,482.35,93.3457,653.001,329.303,291.586,369.298,437.159,376.921,570.261,251.479,610.319,191.164,610.321,206.302,853.821,0,0,311.75,607.81,304.165,813.679,206.311,916.607,201.309,123.486,248.879,115.899,171.115,166.14,286.513,151.181,0,0,0,0,208.802,916.654,0,0,0,0,0,0,0.8858149999999999,0.868435,0.7227939999999999,0.835573,0.827849,0.845144,0.8471029999999999,0.858412,0.602888,0.568738,0.520135,0,0.6233719999999999,0.6501159999999999,0.145941,0.856537,0.890794,0.911431,0.888238,0,0,0.0543052,0,0,0,,
1p_Eero_1_05122021_choreo1,2,0,228.824,133.601,231.438,294.136,133.471,299.117,88.2937,482.345,93.3478,653.002,329.307,291.589,369.302,437.169,376.923,570.262,251.477,610.32,191.163,610.322,206.292,853.858,0,0,311.749,607.813,304.163,813.694,206.305,916.608,201.309,123.489,248.886,115.904,171.115,166.143,286.513,151.182,0,0,0,0,208.805,916.654,0,0,0,0,0,0,0.8846259999999999,0.86748,0.722283,0.835039,0.8262849999999999,0.845831,0.847127,0.8579319999999999,0.603634,0.568878,0.53171,0,0.62438,0.649976,0.146024,0.856397,0.891216,0.911441,0.8882089999999999,0,0,0.053139,0,0,0,,
1p_Eero_1_05122021_choreo1,3,0,228.927,148.523,233.986,299.157,141.028,304.168,90.9275,482.359,95.898,647.939,331.68,291.753,369.453,437.199,377.01,570.073,251.456,605.365,191.203,605.36,206.244,821.214,191.178,916.62,311.682,602.852,301.678,806.107,226.389,916.57,206.21,131.051,248.996,128.406,173.678,171.166,286.539,163.652,231.445,916.647,0,0,223.842,916.599,0,0,0,0,0,0,0.924523,0.799882,0.707356,0.8094279999999999,0.793747,0.843451,0.870362,0.832815,0.613633,0.559456,0.524717,0.053251799999999995,0.6285769999999999,0.615937,0.30105299999999996,0.916144,0.938384,0.901976,0.8552219999999999,0.059315,0,0.13946699999999998,0,0,0,,
1p_Eero_1_05122021_choreo1,4,0,228.96,151.097,241.461,304.194,148.469,306.639,100.905,484.836,100.867,635.545,331.775,296.69,371.951,437.193,381.975,567.693,251.547,602.834,191.278,600.299,198.737,808.643,0,0,311.728,602.807,299.199,793.556,233.933,916.58,206.328,138.581,248.945,131.101,181.219,173.751,286.503,168.638,236.415,916.652,0,0,231.475,916.612,0,0,0,0,0,0,0.9429829999999999,0.795755,0.7394919999999999,0.733981,0.787125,0.804549,0.8572029999999999,0.8248789999999999,0.624649,0.565758,0.5535,0,0.6380739999999999,0.652314,0.333871,0.874262,0.932214,0.808573,0.886764,0.0597305,0,0.14216499999999999,0,0,0,,
1p_Eero_1_05122021_choreo1,5,0,231.35,156.134,246.38,306.69,148.644,306.705,108.454,472.371,105.898,635.505,331.879,304.122,374.401,432.25,386.896,565.174,253.931,595.303,193.815,595.301,193.84,791.01,188.718,916.629,311.684,592.867,304.136,786.058,233.872,916.578,208.789,148.539,251.407,138.571,186.214,186.136,286.54,171.229,236.453,916.653,0,0,231.385,916.618,0,0,0,0,0,0,0.883303,0.835065,0.7743019999999999,0.831096,0.804345,0.79749,0.870471,0.816359,0.6338900000000001,0.579589,0.5225679999999999,0.09452479999999999,0.6593289999999999,0.664221,0.38076899999999997,0.955174,0.900092,0.858165,0.887119,0.0705649,0,0.156947,0,0,0,,
1p_Eero_1_05122021_choreo1,6,0,231.421,166.045,246.479,309.082,151.11,309.089,111.069,472.328,108.468,630.381,331.911,306.609,377.008,432.166,389.445,560.167,253.954,592.837,196.216,592.845,196.236,791.034,188.767,916.624,311.703,592.796,304.15,778.56,231.473,916.581,211.211,151.026,251.484,148.458,188.685,188.628,286.526,176.172,233.975,916.658,0,0,231.356,916.624,0,0,0,0,0,0,0.8945000000000001,0.868366,0.783712,0.797615,0.8673919999999999,0.805222,0.854507,0.831691,0.6361629999999999,0.580859,0.509274,0.112691,0.648048,0.649698,0.43016899999999997,0.977263,0.942711,0.9046059999999999,0.864988,0.07235989999999999,0,0.17385399999999998,0,0,0,,
1p_Eero_1_05122021_choreo1,7,0,233.854,166.173,248.9,309.081,153.668,306.721,115.958,477.359,110.875,617.848,331.909,306.635,379.471,432.105,389.575,555.15,251.582,592.808,196.241,592.784,196.244,816.166,191.262,916.626,309.278,592.762,304.118,775.988,236.459,916.555,211.393,151.17,251.54,148.58,191.169,188.757,286.613,178.655,236.471,916.639,0,0,0,0,0,0,0,0,0,0,0.8986679999999999,0.8863909999999999,0.7635369999999999,0.7482759999999999,0.8575889999999999,0.8031419999999999,0.846148,0.8719100000000001,0.6310509999999999,0.5664,0.54669,0.050371799999999994,0.6327100000000001,0.6865,0.40813099999999997,0.9535889999999999,0.9467500000000001,0.944187,0.871238,0.08478419999999999,0,0,0,0,0,,
1p_Eero_1_05122021_choreo1,8,0,233.934,168.507,248.993,306.693,158.597,306.623,125.98,472.317,111.038,612.826,334.262,306.629,384.47,432.079,392.008,552.742,253.952,590.275,196.285,590.216,193.764,798.561,191.189,916.62,309.285,590.272,301.685,770.928,241.438,916.546,213.776,151.216,251.614,148.68,191.249,191.155,286.657,181.214,0,0,0,0,0,0,0,0,0,0,0,0,0.902273,0.894237,0.747176,0.7506959999999999,0.872633,0.7982079999999999,0.854706,0.877721,0.632848,0.572315,0.5268269999999999,0.123334,0.630783,0.6786059999999999,0.453048,0.94098,0.933245,0.951607,0.8770279999999999,0,0,0,0,0,0,,
1p_Eero_1_05122021_choreo1,9,0,233.984,168.575,249.034,306.641,161.126,304.195,128.545,449.741,118.452,602.845,334.263,306.617,384.471,429.719,392.097,552.657,253.962,587.753,198.801,585.283,191.258,793.566,191.163,916.63,309.263,587.728,294.181,773.425,243.951,916.562,213.856,153.64,253.943,151.053,191.364,191.177,288.98,186.138,241.428,916.628,0,0,236.437,916.605,0,0,0,0,0,0,0.89861,0.891743,0.749383,0.868701,0.778652,0.7988529999999999,0.8610749999999999,0.891755,0.625304,0.561009,0.5730959999999999,0.0957243,0.632212,0.693384,0.5256959999999999,0.907812,0.938288,0.924493,0.8882749999999999,0.11225399999999999,0,0.270962,0,0,0,,
1p_Eero_1_05122021_choreo1,10,0,233.979,168.604,249.063,306.592,166.112,304.153,128.583,449.747,128.367,595.29,331.849,304.151,381.96,429.681,394.598,552.713,251.601,577.749,201.232,575.256,191.354,771.031,191.165,916.625,309.223,577.754,294.142,760.939,243.925,916.566,213.916,156.11,253.939,151.159,193.802,191.205,286.642,186.189,0,0,0,0,236.465,916.616,0,0,0,0,0,0,0.907173,0.8910279999999999,0.771677,0.893647,0.833085,0.80269,0.859679,0.857605,0.621487,0.5707949999999999,0.648253,0.13644199999999998,0.641779,0.69232,0.531972,0.878427,0.9441069999999999,0.896508,0.899986,0,0,0.266778,0,0,0,,
1p_Eero_1_05122021_choreo1,11,0,236.394,168.713,251.364,306.585,168.545,304.12,128.569,452.347,128.598,590.282,331.813,304.169,377.02,429.611,399.513,552.633,251.587,572.715,198.789,572.676,191.286,760.944,191.224,916.597,309.226,572.742,291.713,755.932,243.89,916.556,216.354,161.123,253.98,153.58,198.742,191.316,288.99,188.618,0,0,0,0,233.995,916.6,188.719,916.648,191.288,916.664,193.803,916.636,0.9095669999999999,0.889227,0.778283,0.82598,0.8969419999999999,0.8171200000000001,0.8597269999999999,0.842695,0.653604,0.590718,0.681183,0.49232699999999996,0.663404,0.724032,0.5873389999999999,0.849646,0.916569,0.8441489999999999,0.9186869999999999,0,0,0.321017,0.09271829999999999,0.09491809999999999,0.22231199999999998,,
