clip_name,frame_nr,person_id,nose_x,nose_y,neck_x,neck_y,rshoulder_x,rshoulder_y,relbow_x,relbow_y,rwrist_x,rwrist_y,lshoulder_x,lshoulder_y,lelbow_x,lelbow_y,lwrist_x,lwrist_y,midhip_x,midhip_y,rhip_x,rhip_y,rknee_x,rknee_y,rankle_x,rankle_y,lhip_x,lhip_y,lknee_x,lknee_y,lankle_x,lankle_y,reye_x,reye_y,leye_x,leye_y,rear_x,rear_y,lear_x,lear_y,lbigtoe_x,lbigtoe_y,lsmalltoe_x,lsmalltoe_y,lheal_x,lheal_y,rbigtoe_x,rbigtoe_y,rsmalltoe_x,rsmalltoe_y,rheal_x,rheal_y,nose_v,neck_v,rshoulder_v,relbow_v,rwrist_v,lshoulder_v,lelbow_v,lwrist_v,midhip_v,rhip_v,rknee_v,rankle_v,lhip_v,lknee_v,lankle_v,reye_v,leye_v,rear_v,lear_v,lbigtoe_v,lsmalltoe_v,lheal_v,rbigtoe_v,rsmalltoe_v,rheal_v,label,status
video,0,0,358.469,131.511,358.462,174.124,326.491,172.599,311.277,213.796,311.271,259.475,390.405,175.626,405.665,224.35,394.971,260.988,358.402,270.102,337.124,270.059,337.084,341.673,337.091,411.792,376.757,271.589,375.211,341.654,370.647,405.658,352.362,125.433,367.526,126.913,344.707,131.452,375.208,133.035,369.14,422.471,379.77,420.896,366.094,411.742,337.171,431.507,329.464,430.005,340.157,419.395,0.919963,0.9554389999999999,0.871003,0.902648,0.923862,0.8983700000000001,0.9125019999999999,0.850773,0.821861,0.784029,0.8657619999999999,0.878259,0.7726149999999999,0.8594569999999999,0.875645,0.9170929999999999,0.9253800000000001,0.8597549999999999,0.8992739999999999,0.836204,0.83879,0.653384,0.872394,0.879134,0.737228,,
video,1,0,358.413,131.463,358.431,174.124,326.436,172.597,311.239,213.725,311.272,257.948,390.388,175.608,405.617,222.9,393.434,260.932,358.43,271.581,337.155,270.097,337.108,343.169,337.084,411.797,378.23,271.621,375.215,341.685,370.637,405.661,350.874,125.401,366.037,126.873,344.671,131.469,375.178,133.044,370.576,422.462,379.767,420.894,366.076,411.742,338.607,431.511,329.469,430.011,340.146,419.396,0.9247839999999999,0.952453,0.87453,0.918474,0.914916,0.892408,0.914356,0.86755,0.827282,0.782764,0.870989,0.8792949999999999,0.779494,0.860578,0.8809659999999999,0.920171,0.915207,0.8376279999999999,0.9071859999999999,0.838291,0.841905,0.664262,0.8760129999999999,0.8806379999999999,0.740938,,
video,2,0,356.916,131.486,358.388,174.118,324.95,172.592,311.174,213.783,311.234,257.867,388.9,174.175,404.149,222.885,391.938,260.936,358.407,270.077,337.13,268.599,337.101,341.721,337.097,411.794,378.202,270.125,375.168,341.708,370.63,405.69,349.353,125.429,364.506,126.87,343.189,131.486,373.721,133.012,370.589,422.465,379.769,420.897,366.065,411.784,337.171,431.513,329.462,430.01,340.167,419.398,0.9221929999999999,0.947114,0.884533,0.926877,0.9100419999999999,0.891739,0.9236439999999999,0.878143,0.81857,0.785615,0.8693029999999999,0.877431,0.772629,0.863189,0.881791,0.9365700000000001,0.922415,0.831526,0.9193669999999999,0.835754,0.839992,0.659917,0.874895,0.878026,0.743158,,
video,3,0,356.861,131.519,356.95,174.124,323.47,172.603,309.721,215.293,311.22,257.942,388.878,174.181,402.612,222.874,388.945,260.958,356.959,270.12,337.077,270.082,337.1,343.199,337.111,411.798,376.716,271.625,373.724,343.175,370.63,405.695,349.291,126.87,363.013,126.894,341.67,131.452,373.68,133.006,370.593,422.47,379.768,420.898,366.077,411.79,338.611,431.515,329.478,430.006,340.167,419.395,0.9156369999999999,0.941931,0.8890089999999999,0.912589,0.9169889999999999,0.888967,0.9190379999999999,0.885411,0.810155,0.7904979999999999,0.869887,0.8746769999999999,0.773969,0.866852,0.883201,0.952719,0.938129,0.8169959999999999,0.918844,0.8382839999999999,0.8419719999999999,0.659461,0.8733489999999999,0.875317,0.7389169999999999,,
video,4,0,355.361,131.536,356.901,174.137,323.425,172.624,309.685,216.79,311.208,259.441,387.387,174.181,401.128,222.914,385.913,262.452,356.921,271.618,337.071,271.582,337.094,343.236,337.127,413.275,375.222,273.125,373.704,343.199,370.612,407.133,347.811,126.88,361.501,126.906,340.149,131.464,372.214,133.038,370.59,422.468,379.757,420.897,366.067,411.792,338.614,431.53,329.483,430.025,340.176,420.861,0.9092129999999999,0.937315,0.894345,0.920078,0.932372,0.892991,0.905725,0.885755,0.818946,0.79883,0.875826,0.878756,0.7805789999999999,0.8747579999999999,0.885539,0.951182,0.9497859999999999,0.7986759999999999,0.915254,0.8426089999999999,0.848217,0.659984,0.882466,0.886031,0.752093,,
video,5,0,353.881,131.529,355.408,174.156,321.928,172.651,309.65,218.28,309.757,260.913,385.918,175.61,401.081,224.423,385.885,262.497,355.421,273.114,335.605,271.646,335.644,344.77,337.117,413.276,373.712,273.17,373.657,344.724,370.594,407.145,347.767,126.868,361.446,126.912,338.681,131.471,372.151,134.496,370.586,422.467,379.743,420.894,366.041,411.782,338.604,431.514,329.473,430.005,340.182,420.851,0.9120149999999999,0.932422,0.895204,0.899453,0.9293359999999999,0.8992669999999999,0.911138,0.887867,0.8141849999999999,0.798816,0.878033,0.875923,0.7941119999999999,0.888882,0.887855,0.949866,0.958669,0.7882669999999999,0.917029,0.8396739999999999,0.8472839999999999,0.6571300000000001,0.8700009999999999,0.8704649999999999,0.7464109999999999,,
video,6,0,353.846,131.485,353.874,174.165,321.853,174.096,309.646,218.322,309.715,260.918,385.837,175.621,399.613,224.395,385.878,262.493,355.357,273.149,335.539,273.13,335.61,346.232,337.095,413.287,373.692,274.647,373.644,346.25,370.59,407.172,347.737,125.44,359.992,126.898,338.642,131.454,370.675,133.038,370.604,422.456,379.754,420.883,366.032,413.242,338.606,431.513,329.467,430.013,340.165,420.854,0.9163359999999999,0.9250269999999999,0.892033,0.897393,0.926276,0.897461,0.9134869999999999,0.8851169999999999,0.806734,0.801075,0.877344,0.873035,0.7918729999999999,0.885037,0.8925059999999999,0.952955,0.964287,0.786686,0.912558,0.8366969999999999,0.8418049999999999,0.6718000000000001,0.872115,0.8787039999999999,0.745034,,
video,7,0,352.364,131.454,352.377,174.143,321.828,172.645,309.634,219.815,309.713,260.97,384.354,174.175,399.571,222.899,385.898,262.463,352.318,273.131,332.577,273.122,335.538,346.26,337.105,413.261,372.122,273.17,372.093,346.261,370.588,407.16,346.292,125.437,359.933,126.879,338.6,131.511,370.588,133.025,370.605,422.454,379.758,420.866,366.077,411.767,337.167,431.52,329.468,430.011,340.185,419.395,0.917014,0.924128,0.8887839999999999,0.8923559999999999,0.9294739999999999,0.896451,0.905416,0.885663,0.809912,0.795939,0.8821,0.872958,0.820248,0.885106,0.883933,0.9513100000000001,0.966927,0.792665,0.915481,0.8288869999999999,0.8396549999999999,0.667837,0.878092,0.8862500000000001,0.738263,,
video,8,0,350.792,130.001,352.318,174.131,320.344,172.638,308.173,218.279,309.693,257.952,384.31,174.167,399.585,222.883,385.901,260.999,350.806,273.119,331.045,271.645,334.064,346.25,337.081,413.268,370.674,273.164,370.579,346.253,370.579,407.134,344.759,125.391,358.414,125.428,335.608,131.521,369.104,132.981,370.63,423.898,379.781,420.862,366.055,411.724,337.168,431.522,328.023,430.022,340.166,419.381,0.921682,0.925546,0.8823139999999999,0.8897569999999999,0.8922800000000001,0.896775,0.901096,0.873794,0.7936559999999999,0.764199,0.8701800000000001,0.865795,0.8025329999999999,0.879737,0.8658549999999999,0.930016,0.9555049999999999,0.818399,0.926989,0.814485,0.825135,0.656306,0.8802129999999999,0.8907069999999999,0.723151,,
video,9,0,349.26,129.952,350.823,174.112,318.832,172.631,306.649,218.336,311.18,254.876,382.844,174.138,399.597,222.823,385.915,259.477,349.294,273.121,329.513,271.653,332.572,346.247,335.659,411.79,370.588,273.151,369.14,346.238,370.61,404.166,343.236,123.894,356.937,125.374,334.111,131.469,369.053,131.532,369.114,422.402,379.723,419.382,367.612,410.201,338.611,430.071,328.019,429.995,340.174,419.352,0.930178,0.9312729999999999,0.870894,0.873852,0.899156,0.8989619999999999,0.893075,0.876863,0.7926300000000001,0.758323,0.874787,0.864927,0.787779,0.855676,0.871929,0.922006,0.93905,0.821418,0.924176,0.8283929999999999,0.8318709999999999,0.659319,0.863285,0.88077,0.7107549999999999,,
